authour,category,date,push,title,url
allenliao666,3,10/16,53,音樂   包莖 兄弟   包皮 垢 周湯豪   i   GO   remi,/bbs/Hip-Hop/M.1571156961.A.C06.html
kennyhuang44,7,10/16,3,創作   HK 紅色 恐怖,/bbs/Hip-Hop/M.1571159843.A.0EA.html
MDFK,5,10/16,20,討論   優質 的 jazz   or   lofi   hiphop 日英,/bbs/Hip-Hop/M.1571193476.A.437.html
zdvzdfh,10,10/16,12,Re   音樂   包莖 兄弟   包皮 垢 周湯豪   i   GO   remi,/bbs/Hip-Hop/M.1571206999.A.582.html
sixx,10,10/16,39,Re   討論   Netflix   嘻哈王   正式 預告,/bbs/Hip-Hop/M.1571211333.A.BC9.html
lagay,9,10/09,13,趣味   嘻哈龍虎門 CHING   G   SQUAD   x 高爾宣,/bbs/Hip-Hop/M.1570582446.A.E15.html
pp4646,3,10/09,11,音樂   許時   真的,/bbs/Hip-Hop/M.1570589091.A.86D.html
sclbtlove,3,10/16,10,音樂   臭屁 嬰仔 暗號   signal,/bbs/Hip-Hop/M.1571233793.A.764.html
jasmine10750,9,10/16,3,趣味   Anderson   Paak 名字 怎麼 唸,/bbs/Hip-Hop/M.1571237419.A.A47.html
bassman,5,10/17,1,討論   有人 要 徵求 貝斯手 嗎,/bbs/Hip-Hop/M.1571246624.A.A74.html
yellowjay,5,10/17,1,討論   愛奇藝 的 一些 消息,/bbs/Hip-Hop/M.1571285072.A.26F.html
sixx,10,10/09,38,Re   討論   Netflix   嘻哈王   正式 預告,/bbs/Hip-Hop/M.1570605378.A.956.html
daniel890503,3,10/09,1,音樂   Spotify 有 Acid   Rap 了,/bbs/Hip-Hop/M.1570608462.A.E13.html
yuxds,5,10/09,16,討論   反共 意識 抬頭   台灣 有 歌手 出來 diss 中共 嗎,/bbs/Hip-Hop/M.1570608838.A.7E3.html
chunx2,3,10/10,23,音樂   鄭宜農 Enno   Cheng     街仔路 雨 落袂 停 MV,/bbs/Hip-Hop/M.1570639215.A.A3D.html
Motion,11, 4/13,爆,歌曲   問歌 聽 歌文,/bbs/Hip-Hop/M.1302685047.A.4BD.html
